name,district_id,code
Jomoro,1,A0101
Ellembele,2,A0201
Evalue Ajomoro Gwira,3,A0301
Ahanta West,4,A0401
Takoradi,5,A0501
Sekondi,5,A0601
Essikadu-Ketan,5,A0701
Effia,6,A0801
Kwesimintsim,6,A0802
Shama,7,A0901
Wassa East,8,A1001
Mpohor,9,A1101
Tarkwa Nsuaem,10,A1201
Prestea Huni-Valley,11,A1301
Amenfi East,12,A1401
Amenfi Central,13,A1501
Amenfi West,14,A1601
Komenda Edina Eguafo Abrem,15,B0101
Cape Coast South,16,B0201
Cape Coast North,16,B0202
Abura Asebu Kwamankese,17,B0301
Mfantseman,18,B0401
Ekumfi,19,B0501
Ajumako Enyan Esiam,20,B0601
Gomoa West,21,B0701
Gomoa Central,22,B0801
Gomoa East,23,B0901
Effutu,24,B1001
Awutu Senya West,25,B1101
Awutu Senya East,26,B1201
Agona West,27,B1301
Agona East,28,B1401
Asikuma/Odoben/Brakwa,29,B1501
Assin Central,30,B1601
Assin North,31,B1701
Assin South,32,B1801
Twifo Atti Morkwa,33,B1901
Hemang Lower Denkyira,34,B2001
Upper Denkyira East,35,B2101
Upper Denkyira West,36,B2201
Bortianor-Ngleshie Amanfro,37,C0101
Domeabra-Obom,37,C0102
Weija-Gbawe,38,C0201
Anyaa/Sowutuom,39,C0301
Trobu,41,C0401
Amasaman,41,C0501
Dome/Kwabenya,42,C0601
Madina,43,C0701
Ayawaso East,44,C0801
Ayawaso North,45,C0901
Ayawaso Central,46,C1001
Ayawaso West Wuogon,47,C1101
Okaikwei South,48,C1201
Ablekuma South,48,C1301
Odododiodioo,48,C1401
Okaikwei  Central,49,C1501
Okaikwei  North,49,C1502
Ablekuma North,50,C1601
Ablekuma Central,51,C1701
Ablekuma West,52,C1801
Korle Klottey,53,C1901
Dadekotopon,54,C2001
Ledzokuku,55,C2101
Krowor,56,C2201
Tema East,57,C2301
Tema Central,57,C2302
Tema West,58,C2401
Kpone-Katamanso,59,C2501
Ashaiman,60,C2601
Adentan,61,C2701
Shai-Osudoku,62,C2801
Ningo Prampram,63,C2901
Sege,64,C3001
Ada,65,C3101
Keta,66,D0101
Anlo,67,D0201
Ketu South,68,D0301
Ketu North,69,D0401
Akatsi South,70,D0501
Akatsi North,71,D0601
South Tongu,72,D0701
Central Tongu,73,D0801
North Tongu,74,D0901
Adaklu,75,D1001
Agotime Ziope,76,D1101
Ho Central,77,D1201
Ho West,78,D1301
South Dayi,79,D1401
Kpando,80,D1501
North Dayi,81,D1601
Hohoe,82,D1701
Afadjato South,83,D1801
Asuogyaman,84,E0101
Lower Manya Krobo,85,E0201
Upper Manya Krobo,86,E0301
Yilo Krobo,87,E0401
New Juaben South,88,E0501
New Juaben North,89,E0601
Akropong,90,E0701
Okere,91,E0801
Akuapem South,92,E0901
Nsawam/Adoagyiri,93,E1001
Suhum,94,E1101
Ayensuano,95,E1201
Lower West Akim,96,E1301
Upper West Akim,97,E1401
Akim Oda,98,E1501
Asene/Manso/Akroso,99,E1601
Birim South,100,E1701
Achiase,101,E1801
Ofoase/Ayirebi,90,E1901
Kade,103,E2001
Akwatia,104,E2101
Abirem,105,E2201
Abuakwa South,106,E2301
Abuakwa North,107,E2401
Atiwa West,108,E2501
Atiwa East,109,E2601
Fanteakwa North,110,E2701
Fanteakwa South,111,E2801
Nkawkaw,112,E2901
Mpraeso,113,E3001
Kwahu East,114,E3101
Kwahu Afram Plains North,115,E3201
Afram Plains South,116,E3301
New Edubiase,117,F0101
Akrofuom,118,F0201
Fomena,119,F0301
Adansi Asokwa,120,F0401
Obuasi West,121,F0501
Obuasi East,122,F0601
Bekwai,123,F0701
Bosome Freho,124,F0801
Odotobri,125,F0901
Manso Nkwanta,126,F1001
Manso Adubia,126,F1101
Atwima Nwabiagya South,128,F1201
Atwima Nwabiagya North,129,F1301
Atwima Mponua,130,F1401
Bosomtwe,131,F1501
Atwima Kwanwoma,132,F1601
Bantama,133,F1701
Nhyiaeso,134,F1801
Manhyia South,133,F1901
Manhyia North,133,F1902
Subin,133,F2001
Kwadaso Municipal,134,F2101
Old Tafo,135,F2201
Suame,136,F2301
Asokwa,137,F2401
Oforikrom,138,F2501
Asawase,133,F2601
Kwabre East,140,F2701
Afigya Kwabre South,141,F2801
Afigya Kwabre North,142,F2901
Juaben,143,F3001
Ejisu,144,F3101
Asante Akim South,145,F3201
Asante Akim Central,146,F3301
Asante Akim North,147,F3401
Effiduase/Asokore,148,F3501
Kumawu,149,F3601
Sekyere Afram Plains,150,F3701
Nsuta/Kwamang/Beposo,151,F3801
Mampong,152,F3901
Ejura Sekyedumase,153,F4001
Afigya Seyere East,154,F4101
Offinso South,155,F4201
Offinso North,156,F4301
Ahafo Ano South West,157,F4401
Ahafo Ano South-East,158,F4501
Ahafo Ano North,159,F4601
Aowin,160,G0101
Suaman,161,G0201
Bibiani-Anhwiaso-Bekwai,162,G0301
Sefwi Wiawso,163,G0401
Sefwi Akontombra,164,G0501
Juaboso,165,G0601
Bodi,166,G0701
Bia West,167,G0801
Bia East,168,G0901
Asunafo South,169,H0101
Asunafo North,170,H0201
Asutifi South,171,H0301
Asutifi North,172,H0401
Tano South,173,H0501
Tano North,174,H0601
Sunyani East,175,J0101
Sunyani West,176,J0201
Dormaa West,177,J0301
Dormaa Central,178,J0401
Dormaa East,179,J0501
Berekum East,180,J0601
Berekum West,181,J0701
Jaman South,182,J0801
Jaman North,183,J0901
Banda,184,J1001
Tain,185,J1101
Wenchi,186,J1201
Techiman South,187,K0101
Kintampo North,188,K0201
Kintampo South,189,K0301
Nkoranza North,190,K0401
Nkoranza South,191,K0501
Atebubu/Amantin,192,K0601
Pru West,193,K0701
Pru East,194,K0801
Sene West,195,K0901
Sene East,196,K1001
Techiman North,197,K1101
Buem,198,L0101
Biakoye,199,L0201
Akan,200,L0301
Krachi East,201,L0401
Krachi West,202,L0501
Krachi  Nchumuru,203,L0601
Nkwanta South,204,L0701
Nkwanta North,205,L0801
Kpandai,206,M0101
Bimbilla,207,M0201
Wulesnsi,208,M0301
Zabzugu,209,M0401
Tatale/Sanguli,210,M0501
Yendi,211,M0601
Mion,212,M0701
Saboba,213,M0801
Gushegu,214,M0901
Karaga,215,M1001
Savelugu,216,M1101
Nanton,217,M1201
Tamale South,218,M1301
Tamale Central,218,M1302
Sagnarigu,219,M1401
Tamale North,218,M1402
Tolon,220,M1501
Kumbungu,221,M1601
Bole-Bamboi,222,N0101
Sawla-Tuna-Kalba,223,N0201
Damongo,224,N0301
Daboya / Mankarigu,224,N0401
Yapei/Kusawgu,226,N0501
Salaga South,227,N0601
Salaga North,228,N0701
Wa Central,229,P0101
Wa West,230,P0201
Wa East,231,P0301
Nadowli/Kaleo,232,P0401
Daffiama/Bussie/Issa,233,P0501
Jirapa,234,P0601
Lambussie,235,P0701
Lawra,236,P0801
Nandom,237,P0901
Sissala West,238,P1001
Sissala East,239,P1101
Walewale,240,Q0101
Yagaba/ Kubori,241,Q0201
Nalerigu / Gambaga,242,Q0301
Bunkpurugu,243,Q0401
Yunyoo,244,Q0501
Chereponi,245,Q0601
Builsa South,246,R0101
Builsa North,247,R0201
Navrongo Central,248,R0301
Chiana-Paga,249,R0401
Bolgatanga Central,250,R0501
Bolga East,251,R0601
Bongo,252,R0701
Talensi,253,R0801
Nabdam,254,R0901
Zebilla,255,R1001
Bawku Central,256,R1101
Pusiga,257,R1201
Garu,258,R1301
Tempane,259,R1401
Binduri,260,R1501
