name,constituency_id
Kobina Tahir Hammond,129
Kenneth Boakye Acheampong,129
Mensah Abraham Justice,129
Collins Adomako-Mensah,155
Emmanuel Jackson Agumah,155
William Owuraku Aidoo,154
Nuzagl Vivien Nyuzagla,154
Robert Dambo,154
Mavis Nkansah-Boadu,167
Sarfo Samuel Duku,167
Charles Opoku Gyamfi,167
Suleman Adamu Sanid,172
Kwasi Adusei,172
Kwabena Osei-Bonsu,172
Francis Manu-Adabor,171
Yakubu Mohammed,171
Sadik Abubakar,170
Adom Douglas Kwakye,170
Adu Johnson Kwaku,170
Alex Blankson,127
Joseph Azumeh,127
Prosper Maar,127
Kwame Anyimadu-Antwi,159
Yeboah-Boateng Ernest Stevens,159
Richard Adu Darko,159
Appiah-Kubi Andy Kwame,160
Alhaji Adams Sulley Yussif,160
Kwaku Asante-Boateng,158
Maame Sarfoah Appiah,158
Alidu Seidu,152
Mohammed Mubarak Muntaka,152
Patricia Appiagyei,150
Amoh Kamel,150
Mahamadu Fuseina,150
Osei Eric,150
Kofi Amankwa-Manu,141
Grace Agyemang Asamoah,141
Opoku Mensah James,141
Isaac Kwame Asiamah,139
Yeboah Stephen,139
Agyarko-Poku James,139
Benito Owusu-Bio,138
Getrude Nartey,138
Fredrick Gyamfi Apraku,138
Emmanuel Osei Gyamfi,138
Emmanuel Agyei Anhwere,137
Derrick Owusu Boateng,137
Mensah Mark Osei,137
Anthony Willie Nantwi,137
Francis Asenso-Boakye,142
Joseph Amo,142
Saahene Kwaku Stephen,142
Joseph Osei-Owusu,132
Oppong Charles,132
Yahaya Nasiru,132
Kwasi Amofa-Agyemang,132
Akwasi Darko Boateng,133
Kwame Adarkwah,133
Yaw Osei Adutwum,140
Priscilla Mercy Nketia,140
Nana Ayew Afriye,161
Agyemang Emmanuel Kwabena,161
Kofi Lee,161
Lovia Berkoh,161
Quarshie Alfred,161
John Ampontuah Kumah,157
George Kwame Huze,157
Mohammed Salisu Bamba,166
Braimah Muhammad Bawah,166
Sampson Tinobeng-Opoku,166
Adams Husein,166
Laari Samuel,166
Osman Muba,166
Philip Ofori-Asante,128
Christiana Ama Ranson Barabu,128
Appiagyei Eric,128
Andrew Asiamah Amoako,128
Ama Pomaa Boateng,156
Amankwah Nana Prempeh,156
Philip Basoah,162
Bernard Opoku Marfo,162
Nana Amoako,162
Duah Kwaku,162
Francisca Oteng Mensah,153
Mohammed  Sakib Umar,153
James Kwabena,153
Kwabena Owusu Ansa Agyeman,153
Anthony Osei-Poku,153
Kingsley Nyarko,147
Eric Asibey,147
Adongo Akwasi David,147
Kwaku Ampratwum-Sarpong,165
Frank Amoakohene,165
Bright Adomako,165
Akwasi Konadu,145
Hamza Swallah,145
Owusu Achiaa Nana Ama,145
Matthew Opoku Prempeh,144
Abubakar Sulemana,144
Addo Yaw Frimpong,136
Simon Kwaku Agyei,136
Kofi Osei Afoakwa,136
George Kwabena Obeng Takyi,135
Bance Musah Osmane,135
George Boahen Oduro,126
Abdul-Salam Adams,126
Nsiah Emmanuel Asare,126
Benjamin Brobbey,126
Stephen Amoah,143
Richard Kwamina Prah,143
Ebo Jones Gyebi,143
Adelaide Ntim,164
Newman Dapaah,164
Patrick Boakye-Yiadom,131
Samuel Aboagye,131
Kwaku Agyemang Kwarteng,130
Faustilove Appiah Kannin,130
