station_code,npp,ndc,others,media_checked
E0801,123,456,19910,1
D1101,2766,18592,244,1
D0601,2784,11160,205,1
D1601,2867,15882,154,1
D1501,3682,23099,455,1
R0101,5052,9687,938,1
R0201,6931,16654,382,1
G0901,7517,14105,340,1
E3301,7639,18666,321,1
C3001,8075,23090,738,1
D1201,8419,67919,408,1
L0101,8696,29858,604,1
E0201,9417,14541,443,1
J0301,9607,11328,179,1
L0301,11252,20727,465,1
F0201,11869,8210,227,1
P1101,11945,14242,157,1
N0301,12624,16231,180,1
K0701,13515,14780,411,1
M1201,15057,12828,301,1
B2001,16373,10798,576,1
G0501,16921,15145,317,1
Q0601,17388,14179,694,1
E1401,19060,21694,579,1
F0301,19224,6457,433,1
J0901,19248,20952,821,1
F0401,19519,10560,551,1
B0201,20593,19694,337,1
F2901,20825,10079,197,1
E0401,20828,26165,0,1
E2101,21758,16181,299,1
E1601,22758,10011,430,1
E0601,23394,9064,217,1
B0202,24360,20105,0,1
E1501,24416,7139,0,1
B0301,25652,23465,1279,1
A0101,25871,24609,3574,1
B2101,26928,21338,659,1
F3401,27155,11521,241,1
B0101,27252,31900,2495,1
F0601,28689,13504,346,1
J0401,29159,19219,545,1
E1101,33192,18962,570,1
B1301,33888,25959,1009,1
H0201,36735,28502,638,1
A1301,37572,56815,2435,1
F2201,42363,14721,162,1
F4101,42637,11298,261,1
G0301,42878,29673,1108,1
F2001,43051,14608,216,1
F2801,68378,13976,427,1
