code,name,constituency_id,num_voters
A010101,METH JSS WORKSHOP BLK HALF-ASSINI,1,630
A010102,METH NURSERY BLK  HALF-ASSINI,1,89
A010103,PEACE INTERNATIONAL PRIM SCH COMBODIA HALF-ASSINI,1,505
A010104,METH JSS BLK A HALF-ASSINI,1,184
A010105,OPOSITE GCB HALF-ASSINI,1,433
A010106,METH PRIM A HALF-ASSINI,1,588
A010107,NREDA/SHIDO SQUARE. HALF-ASSINI,1,213
A010108,METH PRIM BLK B HALF-ASSINI,1,383
A010109,E. EKPALE'S SQUARE. HALF-ASSINI,1,550
A010110,WHAJAH'S SQUARE.HALF-ASSINI,1,273
A010111,ARVO'S SQUARE HALF-ASSINI,1,211
A010112,P.TOBENLE'S SQUARE. HALF-ASSINI,1,484
A010201A,R/C JSS BLK A HALF-ASSINI,1,377.5
A010201B,R/C JSS BLK A HALF-ASSINI,1,377.5
A010202,NANA AYEBIE AMIHERE PRIM SCH HALF-ASSINI,1,222
A010203,CHRIST THE KING PREP. HALF-ASSINI,1,169
A010204,SDA CHURCH HALF-ASSINI,1,663
A010301,NZEMA MAANLE PREP SCH. HALF-ASSINI. 1,1,110
A010302,NZEMA MAANLE PREP SCH. HALF-ASSINI. 2,1,594
A010303,NZEMA MAANLE N'SERY BLK B HALF-ASSINI,1,157
A010304,PUBLIC SQUARE ASUKOLO,1,32
A010305,OLD JOMORO DIST. ASSEMBLY HALL. HALF-ASSINI. 1,1,717
A010306,OLD JOMORO DIST. ASSEMBLY HALL. HALF-ASSINI. 2,1,97
A010307,MAGISTRATE COURT. HALF-ASSINI,1,396
A010308,PUBLIC SQUARE METIKA,1,250
A010309,SO FAR SQUARE HALF-ASSINI,1,226
A010401,D/A JSS EKPU,1,643
A010402,MARKET SQUARE. EKPU,1,292
A010403,R C PRIM SCH BLK A EKPU,1,583
A010501,D/A PRIM SCH NEWTOWN. 1,1,698
A010502,D/A PRIM SCH NEWTOWN. 2,1,359
A010503,D/A NURSERY SCH NEWTOWN,1,617
A010504,D/A KG NEWTOWN WHARF,1,380
A010601,D/A PRIM SCH EFASU,1,174
A010602,PROTOA OFFICE EFASU. 1,1,584
A010603,PROTOA OFFICE EFASU. 2,1,129
A010604,RC PRIM SCH MANGYEA. 1,1,431
A010605,RC PRIM SCH MANGYEA. 2,1,150
A010606,M/A PRIM. SCH. MANGYEA,1,90
A010701,COMMUNITY CENTRE NZEMTIANU,1,400
A010702,PUBLIC SQUARE APOLONU,1,200
A010703,R/C PRIM SCH MPESEM,1,364
A010704,PUBLIC SQUARE  DAUDA/ MENSAH BAKA,1,232
A010801,UPPER MARKET SQUARE ASISUAZO JAWAY WHARF. 1,1,615
