name	region_id
Jomoro	2
Ellembele	2
Nzema East	2
Ahanta West	2
Sekondi	2
Effia-Kwesimintsim Sub	2
Shama	2
Wassa East	2
Mpohor	2
Tarkwa Nsuaem	2
Prestea Huni-Valley	2
Wassa Amenfi East	2
Wassa Amenfi Central	2
Wassa Amenfi West	2
Komenda Edina Eguafo Abrem	7
Cape Coast	7
Abura-Asebu-Kwamankese	7
Mfansteman	7
Ekumfi	7
Ajumako-Enyan-Esiam	7
Gomoa West	7
Gomoa Central	7
Gomoa East	7
Effutu	7
Awutu Senya West	7
Awutu Senya East	7
Agona West	7
Agona East	7
Asikuma Odoben Brakwa	7
Assin Foso	7
Assin North	7
Assin South	7
Twifo Atti Morkwa	7
Hemang Lower Denkyira	7
Upper Denkyira East	7
Upper Denkyira West	7
Ga South	4
Weija / Gbawe	4
Ga Central	4
Ga North	4
Ga-West	4
Ga East	4
La-Nkwantanang/Madina	4
Ayawaso East	4
Ayawaso North	4
Ayawaso Central	4
Ayawaso West	4
Accra	4
Okaikwei North	4
Ablekuma North	4
Ablekuma Central	4
Ablekuma West	4
Korle Klottey	4
La Dade-Kotopon	4
Ledzokuku	4
Krowor	4
Tema	4
Tema-West	4
Kpone Katamanso	4
Ashaiman	4
Adentan	4
Shai-Osudoku	4
Ningo-Prampram	4
Ada West	4
Ada East	4
Keta	3
Anloga	3
Ketu South	3
Ketu North	3
Akatsi South	3
Akatsi North	3
South Tongu	3
Central Tongu	3
North Tongu	3
Adaklu	3
Agotime-Ziope	3
Ho Municipal	3
Ho West	3
South Dayi	3
Kpando Municipality	3
North Dayi	3
Hohoe Municipal	3
Afadjato South	3
Asuogyaman	5
Lower Manya Krobo	5
Upper Manya Krobo	5
Yilo Krobo	5
New Juaben South	5
New Juaben North	5
Akwapim North	5
Okere	5
Akuapem South	5
Nsawam/Adoagyiri	5
Suhum	5
Ayensuano	5
West Akim 	5
Upper West Akim	5
Birim Central	5
Asene/Akroso/Manso	5
Birim South	5
Achiase	5
Akyemansa	5
Kwaebibirem	5
Denkyembuo	5
Birim North	5
Abuakwa South	5
Abuakwa North 	5
Atiwa West	5
Atiwa East	5
Fanteakwa North	5
Fanteakwa South	5
Kwahu West	5
Kwahu-South	5
Kwahu East	5
Afram Plains North	5
Afram Plains South	5
Adansi South	6
Akrofuom	6
Adansi North	6
Adansi Asokwa	6
Obuasi Municipal	6
Obuasi East	6
Bekwai	6
Bosome Freho	6
Amansie Central	6
Amansie West	6
Amansie South	6
Atwima Nwabiagya South	6
Atwima Nwabiagya North	6
Atwima Mponua	6
Bosomtwe	6
Atwima Kwanwoma	6
Kumasi	6
Kwadaso	6
Old Tafo 	6
Suame 	6
Asokwa	6
Oforikrom	6
Asokore Mampong	6
Kwabre East	6
Afigya Kwabre South	6
Afigya Kwabre North	6
Juaben	6
Ejisu	6
Asante Akim South	6
Asante Akim Central	6
Asante Akim North	6
Sekyere-East	6
Sekyere Kumawu	6
Sekyere Afram Plains	6
Sekyere Central	6
Mampong Municpal	6
Ejura Sekyedumase	6
Sekyere South	6
Offinso  Municipal	6
Offinso North	6
Ahafo Ano South West	6
Ahafo Ano South East	6
Ahafo Ano North	6
Aowin	1
Suaman	1
Bibiani-Anhwiaso-Bekwai	1
Sefwi Wiawso	1
Sefwi Akontombra	1
Juaboso	1
Bodi	1
Bia West District	1
Bia East	1
Asunafo South	13
Asunafo North	13
Asutifi South	13
Asutifi North	13
Tano South	13
Tano North	13
Sunyani	14
Sunyani West	14
Dormaa West	14
Dormaa Central	14
Dormaa East	14
Berekum East	14
Berekum West	14
Jaman South	14
Jaman North	14
Banda	14
Tain	14
Wenchi	14
Techiman 	12
Kintampo North	12
Kintampo South	12
Nkoranza North	12
Nkoranza South	12
Atebubu/ Amantin	12
Pru West	12
Pru East	12
Sene West	12
Sene East	12
Techiman North	12
Jasikan	11
Biakoye	11
Kadjebi	11
Krachi East	11
Krachi West	11
Krachi-Nchumuru	11
Nkwanta South	11
Nkwanta North	11
Kpandai	8
Nanumba North	8
Nanumba South	8
Zabzugu	8
Tatale/Sanguli	8
Yendi	8
Mion	8
Saboba	8
Gushegu	8
Karaga	8
Savelugu Municipal	8
Nanton	8
Tamale Metropolis	8
Sagnarigu	8
Tolon	8
Kumbungu	8
Bole	16
Sawla/Tuna/Kalba	16
West Gonja	16
North Gonja	16
Central Gonja	16
East Gonja	16
North East Gonja	16
Wa Municipal	10
Wa West	10
Wa East	10
Nadowli/Kaleo	10
Daffiama/Bussie/Issa	10
Jirapa Municipal	10
Lambussie	10
Lawra Municipal	10
Nandom	10
Sissala West	10
Sissala East 	10
West Mamprusi	15
Mamprugu/Moagduri	15
East Mamprusi	15
Bunkpurugu/Nakpanduri	15
Yunyoo/Nasuan	15
Chereponi	15
Builsa South	9
Builsa  North	9
Kassena/Nankana East	9
Kassena/Nankana West	9
Bolgatanga	9
Bolgatanga East	9
Bongo	9
Talensi	9
Nabdam	9
Bawku West	9
Bawku Municipal	9
Pusiga	9
Garu	9
Tempane	9
Binduri	9
